station_code,station_name,station_name_medium,station_uic,station_type,station_tier,is_junction,country,lat,lng
HRL,Heerlen,Heerlen,8400307,knooppuntIntercitystation,Intercity station,True,NL,50.89083480835,5.9749999046326
HRLW,Heerlen Woonboulevard,Hrl Woonblvd,8400404,stoptreinstation,Local station,False,NL,50.896667,5.952222
HZE,Heeze,Heeze,8400308,stoptreinstation,Local station,False,NL,51.384998321533,5.5694446563721
HLO,Heiloo,Heiloo,8400309,stoptreinstation,Local station,False,NL,52.599445343018,4.7005553245544
HNO,Heino,Heino,8400310,stoptreinstation,Local station,False,NL,52.427223205566,6.2211112976074
HM,Helmond,Helmond,8400313,knooppuntIntercitystation,Intercity station,True,NL,51.475555419922,5.6619443893433
HMH,Helmond 't Hout,'t Hout,8400300,stoptreinstation,Local station,False,NL,51.46794,5.63085
HMBV,Helmond Brandevoort,Brandevoort,8400242,stoptreinstation,Local station,False,NL,51.462223052979,5.6072220802307
HMBH,Helmond Brouwhuis,Brouwhuis,8400299,stoptreinstation,Local station,False,NL,51.47068,5.70177
HMN,Hemmen-Dodewaard,Hemmen-Dodew.,8400315,stoptreinstation,Local station,False,NL,51.9222129,5.6737254
HGL,Hengelo,Hengelo,8400316,knooppuntIntercitystation,Intercity station,True,NL,52.261665344238,6.7938890457153
HGLG,Hengelo Gezondheidspark,Hengelo Gezondh.,8400433,stoptreinstation,Local station,False,NL,52.261667,6.767778
HGLO,Hengelo Oost,Hengelo Oost,8400312,stoptreinstation,Local station,False,NL,52.268890380859,6.8194446563721
HIL,Hillegom,Hillegom,8400329,stoptreinstation,Local station,False,NL,52.302501678467,4.5655555725098
HVS,Hilversum,Hilversum,8400322,knooppuntIntercitystation,Intercity station,True,NL,52.225833892822,5.1819443702698
HVSM,Hilversum Media Park,Media Park,8400324,stoptreinstation,Local station,False,NL,52.238056182861,5.1738886833191
HVSP,Hilversum Sportpark,Sportpark,8400570,stoptreinstation,Local station,False,NL,52.216110229492,5.1872220039368
HNP,Hindeloopen,Hindeloopen,8400323,stoptreinstation,Local station,False,NL,52.9464903,5.423063
